method,nfe,temperature,temperature_label,rank_wasserstein,point_type,pareto_optimal
mirror_5000,0,,,3.508259676681206,parameter_free,False
periodic_400,0,,,1.0921635440049469,parameter_free,True
phrase_bank_5000,0,,,1.4347434619392456,parameter_free,False
top_k_iid_64,0,,,1.4235409400057257,parameter_free,False
candi,8,0.6241379380226135,0.624,0.24104395871405657,model,False
duo,8,0.625,0.625,0.09825667269300037,model,True
mdlm,8,0.6241379380226135,0.624,0.23814941594473688,model,False
candi,16,0.6241379380226135,0.624,0.164569751007179,model,False
duo,16,0.625,0.625,0.05462002533774281,model,True
mdlm,16,0.6896551847457886,0.690,0.10401131131116136,model,False
candi,32,0.6896551847457886,0.690,0.15224313468450365,model,False
duo,32,0.625,0.625,0.023856987133482114,model,True
mdlm,32,0.6896551847457886,0.690,0.13015298841952586,model,False
candi,64,0.6896551847457886,0.690,0.12392519515745493,model,False
duo,64,0.625,0.625,0.05000815163829336,model,False
mdlm,64,0.7551723718643188,0.755,0.11589795675411717,model,False
ar,128,0.8999999761581421,0.900,0.02606072523110476,model,False
candi,128,0.6896551847457886,0.690,0.13939557619703852,model,False
duo,128,0.6500000357627869,0.650,0.02461165020575858,model,False
mdlm,128,0.7551723718643188,0.755,0.08811425520988544,model,False
