empty_samples,gen_ppl,max_tokens,mean_tokens,method,min_tokens,nfe,num_samples,rank_wasserstein,rep_1,rep_2,rep_3,source_entropy,source_file,source_gen_ppl,temperature,temperature_label,unigram_entropy,unique_1gram_corpus,unique_1gram_sample,unique_2gram_corpus,unique_2gram_sample,unique_3gram_corpus,unique_3gram_sample,unique_4gram_corpus,unique_4gram_sample
1,2.082044578370017,1476,784.703125,ar,0,64,256,0.966394849795267,0.8052558442564919,0.6621757557249136,0.5987677441446384,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.600.json,,0.6,0.600,3.734203397888877,0.03167001851814978,0.19474415574350837,0.1382751247327156,0.3378242442750864,0.24576042799964068,0.40123225585536154,0.31450287079187883,0.43760799380756815
1,2.4329701529627674,1484,767.0625,ar,0,64,256,0.8935116318094997,0.7732938495336441,0.6075406949503495,0.5345337365588685,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.625.json,,0.625,0.625,3.8609261276345754,0.03824452049213721,0.22670615046635653,0.16870885662857638,0.39245930504965054,0.2992116737636451,0.46546626344113157,0.3795902925824246,0.5045987456770754
1,2.749656702853403,1460,751.078125,ar,0,64,256,0.8341538046901781,0.7534539200712016,0.5723263619509129,0.49315530612092867,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.650.json,,0.65,0.650,3.9883629189844507,0.043754810792818656,0.24654607992879826,0.19002088313257404,0.4276736380490872,0.3347047964706987,0.5068446938790713,0.42046148785187276,0.5484031816017143
1,3.376040831360227,1338,698.609375,ar,0,64,256,0.7419453069001437,0.7118106044910495,0.49529439964449834,0.40558343560155946,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.675.json,,0.675,0.675,4.109389337739256,0.048584241014515445,0.28818939550895056,0.21969438207280403,0.5047056003555016,0.3913050792333487,0.5944165643984407,0.49389315977740217,0.6395479940262242
1,4.062807829460212,1457,688.265625,ar,0,64,256,0.6496412830352778,0.6874873030174234,0.4461133180060111,0.3476447362573787,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.700.json,,0.7,0.700,4.208143148508009,0.05280483098367727,0.312512696982576,0.24849807605958815,0.553886681993989,0.44586364309051374,0.6523552637426213,0.5608928866619924,0.6992705814493858
1,5.179783918184172,1457,667.8671875,ar,0,64,256,0.5253359159081282,0.6507174446082348,0.38648998723661615,0.28443170849263943,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.725.json,,0.725,0.725,4.330585811242909,0.061243229964789966,0.349282555391765,0.2919475863846438,0.6135100127633842,0.5164257555847569,0.7155682915073607,0.6390085130633515,0.7606222340942508
1,6.3127488228403905,1401,678.51171875,ar,0,64,256,0.4190955379441435,0.621422769253528,0.3447048091885132,0.2415304552785143,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.750.json,,0.75,0.750,4.415734794567027,0.06693187640688777,0.37857723074647137,0.31948640483383683,0.6552951908114861,0.5594754863184151,0.7584695447214859,0.6880428371517457,0.8023608551715626
1,7.793870613499447,1435,620.3671875,ar,0,64,256,0.3012880878198033,0.5913699968192468,0.30263733797894005,0.20051432698606783,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.775.json,,0.775,0.775,4.4389172055555095,0.07501227851448865,0.40863000318075277,0.351969929174629,0.6973626620210598,0.6067945219324843,0.7994856730139323,0.7345633316250024,0.8397515370066219
1,9.636201107128109,1435,659.80859375,ar,0,64,256,0.18117187142352373,0.5816563175107721,0.27842208669750257,0.1753876631602969,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.800.json,,0.8,0.800,4.546537521707002,0.07933763934853266,0.4183436824892278,0.38091144103974955,0.721577913302497,0.6505246405900202,0.8246123368397035,0.7782641276033923,0.8624326523544693
1,13.633732372794535,1817,667.2421875,ar,0,64,256,0.020045853597798813,0.5467202901358963,0.2322674813324771,0.13258150277833133,,/kaggle/working/ranking_divergence/cache/generated_texts/gpt2/samples_steps64_temp0.825.json,,0.825,0.825,4.669237665320403,0.08933693959511516,0.45327970986410404,0.42611061274984025,0.7677325186675226,0.7120913190529876,0.8674184972216689,0.8389581826414739,0.9025821803344483
